name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
balu shahi,"maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,iVsUKXQjtj8
boondi,"gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,9ItL13xt8Cc
gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,D98FbtyBsgw
ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,8bw1uVGAatw
gulab jamun,"milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,P6bfQGCbJ5k
imarti,"sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,dnbNiPpkXDI
jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,pdFm9Rnz4H8
kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,All State,All Region,7uCqAtSVJU4
kalakand,"milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,npl7MweXBkg
kheer,"milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,All State,All Region,x4QofoAjMyE
laddu,"gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,All State,All Region,lb6A_W8bxyw
lassi,"yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,eXYNaYukbBE
nankhatai,"refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,All State,All Region,gv-zqXZSl0w
petha,"firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,qFSi-OkU-94
phirni,"rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,zJx6D6sjYRg
rabri,"condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,YkD74gaIQmc
sheera,"semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,7QK48Z_Qs7Y
singori,"khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,K8iWrzm9dMw
sohan halwa,"corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,gKbjsxwCKVQ
sohan papdi,"gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,AOmVczqYIrg
chhena jalebi,"chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,Mz6UGROBSJ4
chhena kheeri,"chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,jWPjm6gW_WU
chhena poda,"sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,-qrbpsNfUmI
cham cham,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,EFyRq2IwhtU
kheer sagar,"chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,9aP9y2LHEIA
ledikeni,"chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,G3_eMdygeW0
lyangcha,"flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,lpvrSUzDNuw
malapua,"yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,aGS4LcMRZRU
mihidana,"besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,lb6A_W8bxyw
misti doi,"milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,cQdddoWLxDE
pantua,"chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,P6bfQGCbJ5k
pithe,"rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,Crz6GBjWjno
rasabali,"chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,f_tZ5HqFFY0
ras malai,"chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,5cLdNM6xH7s
rasgulla,"chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,mxxbqg8g_lE
